customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
11,2026-09-18 11:36:52,,P,Outage,-71.87094767315948,46.08414477365801,L,Crew at work,,NA,7734,,20260918211013,2026-09-19 01:19:45
144,2026-09-18 17:48:25,2026-09-18 23:15:00,P,Outage,-72.67636340498342,47.01678935228767,R,Crew en route,,NA,1450,,20260918211013,2026-09-19 01:19:45
5,2026-09-18 21:05:22,,P,Outage,-73.990949386394007,45.875167267138096,L,Crew at work,58,Equipment failure,6993,,20260918211013,2026-09-19 01:19:45
4,2026-09-18 20:20:20,2026-09-18 22:15:00,P,Outage,-72.52857182272766,45.88521634912496,N,NA,,NA,2117,,20260918211013,2026-09-19 01:19:45
6,2026-09-18 18:29:13,,P,Outage,-73.89476288883604,45.57290041824944,R,Crew en route,,NA,6639,,20260918211013,2026-09-19 01:19:45
94,2026-09-18 21:08:07,,P,Outage,-73.58897150779711,45.49147020541401,N,NA,,NA,1000,,20260918211013,2026-09-19 01:19:45
1,2026-09-18 16:10:12,2026-09-18 22:15:00,P,Outage,-72.79304337011571,45.069955274942416,L,Crew at work,51,Vegetation damage,2348,,20260918211013,2026-09-19 01:19:45
16,2026-09-18 20:01:13,2026-09-18 22:00:00,P,Outage,-75.77091720218534,45.426382039489816,A,Work assigned,,NA,2642,,20260918211013,2026-09-19 01:19:45
88,2026-09-18 19:21:44,2026-09-18 21:30:00,P,Outage,-73.5628207512881,45.399595150343515,A,Work assigned,,NA,8554,,20260918211013,2026-09-19 01:19:45
9,2026-09-18 20:37:29,2026-09-18 22:45:00,P,Outage,-70.83929477753406,46.40671235849586,R,Crew en route,,NA,5704,,20260918211013,2026-09-19 01:19:45
981,2026-09-18 23:56:33,2026-09-19 02:00:00,P,Outage,-78.11918694197989,48.13963579256214,A,Work assigned,,NA,4503,,20260919015018,2026-09-19 06:04:42
5,2026-09-18 21:14:26,2026-09-19 03:45:00,P,Outage,-77.058326480381,45.92798204760456,L,Crew at work,51,Vegetation damage,1890,,20260919015018,2026-09-19 06:04:42
16,2026-09-18 20:01:13,,P,Outage,-75.77091720218534,45.426382039489816,R,Crew en route,,NA,2642,,20260919015018,2026-09-19 06:04:42
208,2026-09-18 23:09:57,,P,Outage,-73.23433246535132,46.108012956127716,N,NA,,NA,8722,,20260919015018,2026-09-19 06:04:42
30,2026-09-18 23:15:50,2026-09-19 03:15:00,P,Outage,-72.86172875881836,46.29558795552909,R,Crew en route,,NA,9533,,20260919015018,2026-09-19 06:04:42
1,2026-09-18 23:26:36,2026-09-19 05:30:00,P,Outage,-72.45157211611522,46.75474838870316,N,NA,,NA,5847,,20260919015018,2026-09-19 06:04:42
1,2026-09-18 23:48:44,,P,Outage,-73.58508202276964,45.48296349894088,N,NA,,NA,0300,,20260919015018,2026-09-19 06:04:42
27,2026-09-18 23:46:24,,P,Outage,-71.1899758886915,46.92265668794062,L,Crew at work,,NA,1302,,20260919015018,2026-09-19 06:04:42
4,2026-09-19 02:40:49,2026-09-19 07:15:00,P,Outage,-72.25022049966154,45.40790523794119,R,Crew en route,,NA,1448,,20260919064003,2026-09-19 10:53:27
6,2026-09-19 02:28:27,2026-09-19 09:45:00,P,Outage,-73.77168653202601,45.58789581936239,R,Crew en route,34,Accident or incident,8389,,20260919064003,2026-09-19 10:53:27
1,2026-09-19 03:45:42,2026-09-19 09:15:00,P,Outage,-73.44793422579849,45.222231496631665,N,NA,,NA,7083,,20260919064003,2026-09-19 10:53:27
55,2026-09-18 23:09:57,2026-09-19 15:15:00,P,Outage,-73.23304389555436,46.12327806614304,L,Crew at work,,NA,8722,,20260919064003,2026-09-19 10:53:27
1,2026-09-19 06:13:26,2026-09-19 08:15:00,P,Outage,-73.5581112280487,45.50487021716586,L,Crew at work,,NA,1000,,20260919064003,2026-09-19 10:53:27
11,2026-09-19 04:34:01,2026-09-19 08:00:00,P,Outage,-73.92886593349324,45.581835802672124,A,Work assigned,,NA,6639,,20260919064003,2026-09-19 10:53:27
68,2026-09-19 04:55:55,2026-09-19 07:00:00,P,Outage,-75.88518251493863,45.70023676052725,A,Work assigned,,NA,8575,,20260919064003,2026-09-19 10:53:27
1,2026-09-18 23:26:36,2026-09-19 09:45:00,P,Outage,-72.45157211611522,46.75474838870316,N,NA,,NA,5847,,20260919064003,2026-09-19 10:53:27
6,2026-09-19 04:44:01,2026-09-19 06:45:00,P,Outage,-79.1088197609803,48.15821461208873,A,Work assigned,,NA,5647,,20260919064003,2026-09-19 10:53:27
