customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
8,2026-05-13 19:26:54,2026-05-13 21:30:00,P,Outage,-74.00929799205649,45.37756820344248,L,Crew at work,11,Equipment failure,9344,,20260513212014,2026-05-14 01:33:14
19,2026-05-13 20:49:51,2026-05-13 22:45:00,P,Outage,-73.52214109156952,45.31168268447893,R,Crew en route,,NA,7572,,20260513212014,2026-05-14 01:33:14
1,2026-05-13 20:14:21,2026-05-13 23:00:00,P,Outage,-74.59289669366953,45.62416270295777,A,Work assigned,,NA,2501,,20260513212014,2026-05-14 01:33:14
12,2026-05-13 19:30:56,2026-05-13 21:30:00,P,Outage,-73.62915302524922,45.75181093330363,A,Work assigned,,NA,6972,,20260513212014,2026-05-14 01:33:14
16,2026-05-13 14:30:12,2026-05-13 23:30:00,P,Outage,-75.68496816754484,45.47058130228307,N,NA,,NA,2375,,20260513212014,2026-05-14 01:33:14
10,2026-05-13 20:50:27,2026-05-13 22:45:00,I,Interruption,-72.23082375078552,48.58060041593396,L,Crew at work,63,NA,5257,,20260513212014,2026-05-14 01:33:14
2,2026-05-13 14:59:28,2026-05-13 23:45:00,P,Outage,-71.08155807016847,46.445757683970044,L,Crew at work,54,Accident or incident,6552,,20260513212014,2026-05-14 01:33:14
109,2026-05-13 08:44:13,2026-05-13 23:15:00,P,Outage,-75.69125531557968,45.47486264215363,L,Crew at work,58,Equipment failure,2375,,20260513212014,2026-05-14 01:33:14
3,2026-05-13 08:44:15,2026-05-13 21:30:00,P,Outage,-75.69478858863289,45.474392823386346,L,Crew at work,,NA,2375,,20260513212014,2026-05-14 01:33:14
1,2026-05-13 17:05:28,2026-05-13 21:30:00,P,Outage,-75.62958185041794,45.633708283941935,N,NA,,NA,9431,,20260513212014,2026-05-14 01:33:14
4,2026-05-13 14:50:09,2026-05-13 23:45:00,P,Outage,-78.11158629180352,48.59837912046136,L,Crew at work,54,Accident or incident,1065,,20260513212014,2026-05-14 01:33:14
7,2026-05-13 14:23:01,,P,Outage,-74.12106056053662,45.258141246293924,R,Crew en route,,NA,5707,,20260513212014,2026-05-14 01:33:14
