customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
9,2026-06-21 14:27:45,2026-06-22 05:15:00,P,Outage,-71.36945141125891,46.73833671813048,R,Crew en route,11,Equipment failure,6687,,20260621220017,2026-06-22 02:09:47
14,2026-06-21 14:09:10,2026-06-22 01:15:00,P,Outage,-73.43003713325297,45.58209851445709,A,Work assigned,11,Equipment failure,1460,,20260621220017,2026-06-22 02:09:47
4,2026-06-21 14:38:17,,P,Outage,-72.2612298599807,45.989260883772374,R,Crew en route,,NA,8614,,20260621220017,2026-06-22 02:09:47
17,2026-06-21 13:47:49,2026-06-22 15:15:00,P,Outage,-73.82702775269513,45.50933478757975,A,Work assigned,,NA,0253,,20260621220017,2026-06-22 02:09:47
29,2026-06-21 18:10:16,2026-06-21 23:15:00,P,Outage,-71.30572158287943,46.104010976729576,R,Crew en route,,NA,9169,,20260621220017,2026-06-22 02:09:47
2,2026-06-21 18:15:44,,P,Outage,-75.86774985839689,46.26862472954073,R,Crew en route,,NA,8392,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 15:39:16,,P,Outage,-71.90016325468237,45.52988674605823,N,NA,,NA,9058,,20260621220017,2026-06-22 02:09:47
42,2026-06-21 12:11:25,2026-06-22 03:15:00,P,Outage,-73.9941617617895,45.124536232868735,A,Work assigned,,NA,5128,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 14:23:47,2026-06-22 21:15:00,P,Outage,-73.54302771495024,45.40038935283165,L,Crew at work,,NA,8554,,20260621220017,2026-06-22 02:09:47
8,2026-06-21 17:52:45,2026-06-21 22:45:00,P,Outage,-73.86218660863362,45.313601609503536,L,Crew at work,,NA,4542,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 13:20:38,2026-06-22 11:15:00,P,Outage,-61.701179162302104,47.27406322870102,A,Work assigned,,NA,2678,,20260621220017,2026-06-22 02:09:47
10,2026-06-21 15:41:25,,P,Outage,-71.52128491121424,46.25961718319668,N,NA,,NA,2690,,20260621220017,2026-06-22 02:09:47
18,2026-06-21 15:33:38,2026-06-21 22:15:00,P,Outage,-71.82929295970585,46.834112448479786,L,Crew at work,51,Vegetation damage,7980,,20260621220017,2026-06-22 02:09:47
6,2026-06-21 15:43:09,,P,Outage,-71.91404321100781,45.22362661380011,N,NA,,NA,1943,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 16:00:49,,P,Outage,-71.7339170449434,46.737168053373885,A,Work assigned,,NA,5317,,20260621220017,2026-06-22 02:09:47
6,2026-06-21 15:53:49,2026-06-21 23:15:00,P,Outage,-73.70867956962582,45.3763117099859,L,Crew at work,11,Equipment failure,1697,,20260621220017,2026-06-22 02:09:47
99,2026-06-21 13:38:39,2026-06-21 23:15:00,P,Outage,-71.22027428927512,47.50999568861078,A,Work assigned,,NA,5161,,20260621220017,2026-06-22 02:09:47
379,2026-06-21 16:19:44,,P,Outage,-71.60578904507982,46.699972931539854,A,Work assigned,,NA,5290,,20260621220017,2026-06-22 02:09:47
5,2026-06-21 15:58:27,2026-06-21 22:15:00,P,Outage,-71.87796746942556,45.09142397180438,N,NA,,NA,1251,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 16:05:45,,P,Outage,-72.10085747945085,45.74573753239369,N,NA,,NA,2000,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 16:00:54,2026-06-21 23:15:00,P,Outage,-70.70997208862786,46.072622122631586,A,Work assigned,21,Weather conditions,7167,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 18:08:24,,P,Outage,-73.73872913458462,46.088555651471914,A,Work assigned,,NA,5458,,20260621220017,2026-06-22 02:09:47
2,2026-06-21 17:18:35,2026-06-22 00:00:00,P,Outage,-71.66210909376204,45.24697865097694,R,Crew en route,,NA,6525,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 17:45:18,,P,Outage,-71.65283904609869,46.22980194287959,N,NA,,NA,7920,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 10:54:10,2026-06-21 22:15:00,P,Outage,-71.87412668660554,45.16106222618336,L,Crew at work,11,Equipment failure,1943,,20260621220017,2026-06-22 02:09:47
6,2026-06-21 06:27:42,2026-06-22 09:00:00,P,Outage,-71.08825049189169,48.44578216735038,L,Crew at work,,NA,1850,,20260621220017,2026-06-22 02:09:47
175,2026-06-21 09:13:13,,P,Outage,-73.58159464651305,45.51830300883053,L,Crew at work,11,Equipment failure,1000,,20260621220017,2026-06-22 02:09:47
69,2026-06-21 18:39:10,2026-06-21 22:45:00,P,Outage,-73.82394675900927,45.853967812331554,L,Crew at work,51,Vegetation damage,5820,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 18:34:21,2026-06-21 23:15:00,P,Outage,-73.43948606162724,45.240672927659794,A,Work assigned,,NA,7083,,20260621220017,2026-06-22 02:09:47
22,2026-06-21 17:03:56,,P,Outage,-74.18908084608243,46.18934388965947,L,Crew at work,58,Equipment failure,8812,,20260621220017,2026-06-22 02:09:47
12,2026-06-21 16:39:38,,P,Outage,-74.20494071924098,46.221326141259134,R,Crew en route,,NA,8812,,20260621220017,2026-06-22 02:09:47
6,2026-06-21 19:36:46,2026-06-22 02:15:00,P,Outage,-73.29803197923204,45.44075579178794,R,Crew en route,,NA,1718,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 15:27:39,2026-06-21 23:00:00,P,Outage,-71.84894344835011,45.14569554905621,N,NA,,NA,1251,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 18:13:23,2026-06-22 08:15:00,P,Outage,-73.9000580704018,45.51558301368561,A,Work assigned,,NA,0291,,20260621220017,2026-06-22 02:09:47
1,2026-06-21 19:48:43,,P,Outage,-73.33420599459328,46.15631568018408,R,Crew en route,,NA,7725,,20260621220017,2026-06-22 02:09:47
