customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
8,2026-09-19 17:04:45,,P,Outage,-73.79941318289958,45.52755522885408,A,Work assigned,,NA,8641,,20260919212003,2026-09-20 01:37:43
2,2026-09-19 13:47:39,2026-09-19 22:45:00,P,Outage,-73.41696974473359,46.29752419874105,L,Crew at work,33,Accident or incident,6813,,20260919212003,2026-09-20 01:37:43
7,2026-09-19 17:31:50,,P,Outage,-73.88331075135002,45.31747725797034,A,Work assigned,,NA,1290,,20260919212003,2026-09-20 01:37:43
27,2026-09-19 16:16:08,,P,Outage,-73.82021161039478,45.61686984811533,A,Work assigned,,NA,9371,,20260919212003,2026-09-20 01:37:43
21,2026-09-19 20:08:22,2026-09-19 22:15:00,I,Interruption,-73.75272201654327,45.56997198700854,L,Crew at work,62,NA,1856,,20260919212003,2026-09-20 01:37:43
27,2026-09-19 21:01:53,2026-09-20 05:15:00,P,Outage,-72.41073568798043,45.8373795003495,L,Crew at work,54,Accident or incident,7713,,20260919212003,2026-09-20 01:37:43
15,2026-09-19 20:29:48,2026-09-19 22:30:00,P,Outage,-73.4214048898577,46.300525554763034,L,Crew at work,11,Equipment failure,6813,,20260919212003,2026-09-20 01:37:43
45,2026-09-19 20:34:06,2026-09-20 00:45:00,P,Outage,-73.49141925794324,45.683704053830084,L,Crew at work,,NA,0119,,20260919212003,2026-09-20 01:37:43
807,2026-09-19 17:31:50,,P,Outage,-73.88088368725907,45.30850138433311,R,Crew en route,,NA,1290,,20260919212003,2026-09-20 01:37:43
