customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
4,2026-07-02 16:55:02,2026-07-04 03:15:00,P,Outage,-72.73689491644598,45.339567142980286,A,Work assigned,22,Weather conditions,2423,,20260703211018,2026-07-04 01:14:50
70,2026-07-02 18:16:05,2026-07-03 23:15:00,P,Outage,-72.62214406627318,46.015907607325325,L,Crew at work,58,Equipment failure,8329,,20260703211018,2026-07-04 01:14:50
241,2026-07-03 19:22:49,2026-07-03 21:15:00,P,Outage,-71.64111865571554,46.921005677912504,R,Crew en route,58,Equipment failure,2330,,20260703211018,2026-07-04 01:14:50
44,2026-07-02 18:16:05,,P,Outage,-72.65232610721498,46.05175652744309,L,Crew at work,58,Equipment failure,8329,,20260703211018,2026-07-04 01:14:50
36,2026-07-02 18:19:55,,P,Outage,-72.62734566147518,46.00066464153159,R,Crew en route,58,Equipment failure,6543,,20260703211018,2026-07-04 01:14:50
2,2026-07-03 19:48:00,2026-07-03 21:45:00,P,Outage,-75.62908019345603,46.33219591803547,L,Crew at work,11,Equipment failure,4980,,20260703211018,2026-07-04 01:14:50
4,2026-07-02 18:58:49,2026-07-03 22:15:00,P,Outage,-74.23480349701157,45.81429122780435,R,Crew en route,11,Equipment failure,4652,,20260703211018,2026-07-04 01:14:50
3,2026-07-02 23:01:24,,P,Outage,-71.98887276492769,46.1731844148134,A,Work assigned,34,Accident or incident,8047,,20260703211018,2026-07-04 01:14:50
1,2026-07-03 10:33:29,2026-07-04 05:15:00,P,Outage,-74.85093717114295,46.328362560892394,N,NA,21,Weather conditions,4551,,20260703211018,2026-07-04 01:14:50
1,2026-07-03 17:43:22,2026-07-04 05:15:00,P,Outage,-74.89218891875078,46.52808736181728,N,NA,21,Weather conditions,3831,,20260703211018,2026-07-04 01:14:50
10,2026-07-02 19:44:59,2026-07-04 10:15:00,P,Outage,-73.42276277741362,45.77435216764644,N,NA,21,Weather conditions,5482,,20260703211018,2026-07-04 01:14:50
18,2026-07-03 13:50:49,2026-07-03 22:15:00,P,Outage,-70.87101898778218,45.67389930347322,L,Crew at work,51,Vegetation damage,8593,,20260703211018,2026-07-04 01:14:50
13,2026-07-01 20:29:09,2026-07-04 10:15:00,P,Outage,-74.10627701899419,46.603446861277924,N,NA,51,Vegetation damage,6942,,20260703211018,2026-07-04 01:14:50
19,2026-07-03 18:44:27,,P,Outage,-73.46607587438024,45.52620164827395,L,Crew at work,51,Vegetation damage,4410,,20260703211018,2026-07-04 01:14:50
