customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
14,2026-07-12 08:15:24,,P,Outage,-73.0211995784859,45.380576093572756,R,Crew en route,,NA,6261,,20260712200012,2026-07-13 00:11:08
3,2026-07-12 13:59:17,,P,Outage,-71.07442799593616,48.382999208956655,A,Work assigned,,NA,1850,,20260712200012,2026-07-13 00:11:08
13,2026-07-12 16:57:40,,P,Outage,-77.83499634755593,48.14573266274156,N,NA,,NA,9094,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 16:14:09,,P,Outage,-75.44130017756756,51.50277114170274,N,NA,,NA,9165,,20260712200012,2026-07-13 00:11:08
6,2026-07-12 16:21:13,,P,Outage,-78.21768130036915,48.61071795878934,N,NA,,NA,9199,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 18:38:01,2026-07-12 20:30:00,P,Outage,-71.31418693306951,46.340512050808435,R,Crew en route,,NA,7095,,20260712200012,2026-07-13 00:11:08
611,2026-07-12 16:54:56,,P,Outage,-78.01618083992895,48.139953367421434,L,Crew at work,,NA,4503,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 19:57:00,,P,Outage,-74.61419184631633,45.983116983500295,N,NA,,NA,1119,,20260712200012,2026-07-13 00:11:08
57,2026-07-12 19:38:29,2026-07-12 21:30:00,P,Outage,-73.61509670926323,45.477335877938295,N,NA,,NA,1000,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 18:34:30,2026-07-12 20:30:00,P,Outage,-78.12882887545723,48.14142504242582,N,NA,,NA,4503,,20260712200012,2026-07-13 00:11:08
19,2026-07-12 18:31:52,2026-07-12 20:30:00,P,Outage,-73.6908301759495,45.57586971951213,N,NA,,NA,5320,,20260712200012,2026-07-13 00:11:08
4,2026-07-12 17:22:14,,I,Interruption,-75.4905617047007,45.52069190286052,L,Crew at work,63,NA,4586,,20260712200012,2026-07-13 00:11:08
36,2026-07-12 17:08:25,,P,Outage,-77.77565179682021,48.11469910664456,R,Crew en route,,NA,9266,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 17:11:05,,P,Outage,-74.29674734374638,45.884083993404644,R,Crew en route,,NA,4770,,20260712200012,2026-07-13 00:11:08
8,2026-07-12 16:54:53,,P,Outage,-77.80604483458367,48.09486087984651,N,NA,,NA,9266,,20260712200012,2026-07-13 00:11:08
3,2026-07-12 15:20:33,,P,Outage,-76.11745658479573,51.75364463382722,R,Crew en route,,NA,9165,,20260712200012,2026-07-13 00:11:08
16,2026-07-12 15:22:03,,P,Outage,-76.03398221209297,51.69676383923692,R,Crew en route,,NA,9165,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 13:41:30,,P,Outage,-74.2678049663685,46.3098093144032,R,Crew en route,,NA,5793,,20260712200012,2026-07-13 00:11:08
32,2026-07-12 15:57:20,2026-07-13 11:15:00,P,Outage,-58.637048442503044,51.227098189491194,L,Crew at work,,NA,6096,,20260712200012,2026-07-13 00:11:08
3,2026-04-24 09:21:32,2026-07-12 21:15:00,I,Interruption,-73.69538540421051,45.573240217286035,N,NA,67,NA,5320,,20260712200012,2026-07-13 00:11:08
6,2026-07-12 18:49:03,2026-07-12 20:45:00,P,Outage,-70.74641059230348,46.79488888198729,N,NA,,NA,7965,,20260712200012,2026-07-13 00:11:08
2,2026-07-12 18:48:12,2026-07-12 20:45:00,P,Outage,-73.63566240854387,45.28420468551389,R,Crew en route,,NA,7992,,20260712200012,2026-07-13 00:11:08
4,2026-07-12 17:37:21,2026-07-13 15:15:00,P,Outage,-77.08211635641058,48.95515892487779,L,Crew at work,,NA,9165,,20260712200012,2026-07-13 00:11:08
5,2026-07-12 17:10:48,,P,Outage,-77.75061269135068,48.150606321894244,N,NA,,NA,9296,,20260712200012,2026-07-13 00:11:08
41,2026-07-12 16:17:22,,P,Outage,-78.22114152368131,48.590400610129194,L,Crew at work,51,Vegetation damage,9199,,20260712200012,2026-07-13 00:11:08
16,2026-07-12 17:41:50,,P,Outage,-77.86858973022586,48.13637682224546,N,NA,,NA,9094,,20260712200012,2026-07-13 00:11:08
119,2026-07-12 17:56:59,,P,Outage,-77.80926858260071,48.121485708037454,N,NA,,NA,9094,,20260712200012,2026-07-13 00:11:08
1,2026-07-12 17:55:57,,P,Outage,-71.31994414854259,48.5665774528138,A,Work assigned,,NA,5949,,20260712200012,2026-07-13 00:11:08
867,2026-07-12 19:14:12,2026-07-12 21:15:00,P,Outage,-72.06674904615302,48.75850548060436,R,Crew en route,58,Equipment failure,5188,,20260712200012,2026-07-13 00:11:08
5,2026-07-12 19:22:21,2026-07-12 21:30:00,P,Outage,-66.60610866861836,49.11100848999682,R,Crew en route,,NA,8368,,20260712200012,2026-07-13 00:11:08
