customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
62,2026-09-12 19:09:27,2026-09-12 21:15:00,P,Outage,-71.6389541354342,45.96299562163597,A,Work assigned,,NA,6711,,20260912195007,2026-09-13 00:05:21
79,2026-09-12 19:17:58,2026-09-12 21:15:00,P,Outage,-68.37578590150126,58.11698231529971,A,Work assigned,,NA,3796,,20260912195007,2026-09-13 00:05:21
29,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.39800521183126,58.11064640030781,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
32,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38038813015102,58.11537523819758,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
5,2026-09-12 14:45:21,2026-09-12 20:00:00,P,Outage,-77.39366543990896,48.10110068121668,N,NA,,NA,9266,,20260912195007,2026-09-13 00:05:21
2,2026-09-12 18:10:11,2026-09-12 20:15:00,P,Outage,-77.28904399059552,48.343739386398234,N,NA,,NA,5717,,20260912195007,2026-09-13 00:05:21
26,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.40997478732747,58.11749911535511,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
41,2026-09-12 17:29:14,,P,Outage,-78.22114152368131,48.590400610129194,L,Crew at work,51,Vegetation damage,9199,,20260912195007,2026-09-13 00:05:21
11,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38275776340409,58.122277342879606,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
17,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38287870063598,58.11608490778467,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
6,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38538131198,58.11464941744217,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
18,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38049410319937,58.12753712844885,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
1,2026-09-12 08:04:47,2026-09-12 20:15:00,I,Interruption,-75.7163046553577,45.42546333780654,L,Crew at work,67,NA,2642,,20260912195007,2026-09-13 00:05:21
13,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.4028886948917,58.11137259133095,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
10,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.395906531834,58.11271958631017,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
3,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.40493402317831,58.10993054878899,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
3,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.39705766458992,58.113798956507296,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
3,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38094728598887,58.12365620188729,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
124,2026-09-12 15:07:27,,P,Outage,-75.80530970912447,45.65434780328312,R,Crew en route,,NA,9431,,20260912195007,2026-09-13 00:05:21
1,2026-09-12 15:17:02,2026-09-12 22:15:00,P,Outage,-73.42650124509609,45.60635796736616,N,NA,33,Accident or incident,1460,,20260912195007,2026-09-13 00:05:21
2,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.40908929798377,58.1115163570831,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
3,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38256484650745,58.12953971521172,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
1,2026-09-12 19:31:40,,P,Outage,-74.37581362751396,45.2669871087535,N,NA,,NA,8158,,20260912195007,2026-09-13 00:05:21
5,2026-09-12 19:45:38,,P,Outage,-73.03405395225076,45.65479360318136,L,Crew at work,11,Equipment failure,3951,,20260912195007,2026-09-13 00:05:21
6,2026-09-12 17:20:05,,P,Outage,-78.11271482962862,48.646772943386594,R,Crew en route,,NA,6672,,20260912195007,2026-09-13 00:05:21
1,2026-09-12 16:18:31,,P,Outage,-77.89211109842995,48.19978523830621,R,Crew en route,,NA,9338,,20260912195007,2026-09-13 00:05:21
27,2026-09-12 18:03:56,2026-09-12 21:45:00,P,Outage,-73.98842314726933,45.90510135857919,L,Crew at work,54,Accident or incident,6993,,20260912195007,2026-09-13 00:05:21
4,2026-09-12 16:55:17,,P,Outage,-73.32108535374681,45.293946533113,L,Crew at work,13,Equipment failure,3798,,20260912195007,2026-09-13 00:05:21
36,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38174038188306,58.12410953383145,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
53,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.39716616667302,58.11482417658429,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
13,2026-09-12 17:12:30,2026-09-12 21:30:00,P,Outage,-77.74054531160029,48.54842130315578,L,Crew at work,51,Vegetation damage,1257,,20260912195007,2026-09-13 00:05:21
72,2026-09-12 19:17:58,2026-09-12 21:30:00,P,Outage,-68.38465893251535,58.123755964784536,N,NA,,NA,3796,,20260912195007,2026-09-13 00:05:21
