customers_affected,start_time,estimated_end_time,type_code,type,longitude,latitude,status_code,status,cause_code,cause,municipality_id,message_id,bis_version,pulled_at
97,2026-07-14 11:58:55,,P,Outage,-71.13847163852475,45.9250176619527,R,Crew en route,,NA,4170,,20260714204016,2026-07-15 00:51:33
2,2026-07-14 11:55:54,2026-07-14 22:15:00,P,Outage,-71.91450010143573,45.80402069156817,A,Work assigned,,NA,9181,,20260714204016,2026-07-15 00:51:33
36,2026-07-14 07:29:15,2026-07-14 22:15:00,P,Outage,-72.94217750681369,46.46504276989254,R,Crew en route,51,Vegetation damage,6537,,20260714204016,2026-07-15 00:51:33
7,2026-07-14 05:16:21,,P,Outage,-78.74504688834278,51.48596520554479,R,Crew en route,,NA,9454,,20260714204016,2026-07-15 00:51:33
35,2026-07-14 12:58:37,2026-07-15 01:15:00,P,Outage,-72.12871892487591,46.526563784651984,N,NA,,NA,2063,,20260714204016,2026-07-15 00:51:33
1,2026-07-14 04:45:33,,P,Outage,-76.79606079039678,52.37574689375748,R,Crew en route,,NA,9165,,20260714204016,2026-07-15 00:51:33
20,2026-07-14 18:17:03,,P,Outage,-71.76069671774842,45.739978713957846,N,NA,,NA,9518,,20260714204016,2026-07-15 00:51:33
1,2026-07-14 14:24:31,,P,Outage,-72.64559063507167,46.63733627117655,A,Work assigned,,NA,6843,,20260714204016,2026-07-15 00:51:33
3,2026-07-14 18:18:05,2026-07-14 23:15:00,P,Outage,-75.84278264243646,46.27189847556167,L,Crew at work,21,Weather conditions,8392,,20260714204016,2026-07-15 00:51:33
11,2026-07-14 09:23:34,2026-07-14 21:45:00,P,Outage,-71.80864520117774,45.73622393478784,R,Crew en route,,NA,9518,,20260714204016,2026-07-15 00:51:33
798,2026-07-14 17:07:14,,P,Outage,-72.15122113381233,46.96633581901837,R,Crew en route,,NA,7395,,20260714204016,2026-07-15 00:51:33
1,2026-07-14 18:45:48,2026-07-14 23:15:00,P,Outage,-72.53441521615419,46.38028884466205,L,Crew at work,58,Equipment failure,1652,,20260714204016,2026-07-15 00:51:33
1,2026-07-14 14:11:28,2026-07-14 22:45:00,P,Outage,-72.43951601150717,46.85035669577632,L,Crew at work,21,Weather conditions,7998,,20260714204016,2026-07-15 00:51:33
5,2026-07-14 19:23:20,2026-07-14 21:45:00,P,Outage,-74.46928552060258,46.18669755526714,R,Crew en route,,NA,4095,,20260714204016,2026-07-15 00:51:33
3,2026-07-14 19:40:47,2026-07-14 21:45:00,P,Outage,-75.83832012385595,45.38402108926941,R,Crew en route,,NA,1185,,20260714204016,2026-07-15 00:51:33
1,2026-07-14 13:18:25,2026-07-14 23:15:00,P,Outage,-71.95674128137155,46.351154830913494,R,Crew en route,,NA,4536,,20260714204016,2026-07-15 00:51:33
37,2026-07-14 15:47:26,2026-07-14 21:15:00,P,Outage,-73.46070274147844,45.446453328520654,L,Crew at work,,NA,1535,,20260714204016,2026-07-15 00:51:33
3,2026-07-14 15:16:02,2026-07-14 21:15:00,P,Outage,-71.04915113106487,46.95195877387155,N,NA,,NA,1781,,20260714204016,2026-07-15 00:51:33
16,2026-07-14 19:29:14,2026-07-14 21:30:00,P,Outage,-70.83486325278857,47.13667761297724,N,NA,,NA,6690,,20260714204016,2026-07-15 00:51:33
10,2026-07-14 19:36:00,2026-07-14 21:30:00,P,Outage,-73.84850726758972,45.498346647114566,R,Crew en route,,NA,0253,,20260714204016,2026-07-15 00:51:33
8,2026-07-14 19:35:30,2026-07-14 21:30:00,P,Outage,-68.62477564731459,48.24148918696663,N,NA,,NA,8263,,20260714204016,2026-07-15 00:51:33
31,2026-07-14 19:43:33,2026-07-14 21:45:00,P,Outage,-75.83793208917777,46.173859828403856,N,NA,,NA,1472,,20260714204016,2026-07-15 00:51:33
3,2026-07-14 09:37:50,2026-07-14 21:15:00,I,Interruption,-71.31210093048182,46.766468975001736,L,Crew at work,63,NA,5701,,20260714204016,2026-07-15 00:51:33
10,2026-07-14 16:14:13,2026-07-14 22:15:00,P,Outage,-73.92874514521272,45.37616945954336,N,NA,,NA,4983,,20260714204016,2026-07-15 00:51:33
