customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
10,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
132974,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
62,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
32,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
39062,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,NA,NA,20260725210004,2026-07-26 01:13:54
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260725210004,2026-07-26 01:13:54
10,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
132974,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
62,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
32,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
39062,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,NA,NA,20260726003011,2026-07-26 04:38:53
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726003011,2026-07-26 04:38:53
10,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
132974,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
62,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
32,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
39062,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,NA,NA,20260726031007,2026-07-26 07:17:49
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726031007,2026-07-26 07:17:49
10,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
132974,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
62,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
32,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
39062,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,NA,NA,20260726052015,2026-07-26 09:29:59
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726052015,2026-07-26 09:29:59
10,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
132974,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
62,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
32,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
39062,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,NA,NA,20260726065015,2026-07-26 10:59:21
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726065015,2026-07-26 10:59:21
10,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
132974,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
62,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
32,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
39062,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,NA,NA,20260726075009,2026-07-26 11:58:32
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726075009,2026-07-26 11:58:32
10,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
132974,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
62,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
32,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
39062,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,NA,NA,20260726090005,2026-07-26 13:06:58
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726090005,2026-07-26 13:06:58
10,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
132974,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
62,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
32,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
39062,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,NA,NA,20260726104007,2026-07-26 14:44:17
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260726104007,2026-07-26 14:44:17
10,NA,NA,NA,NA,NA,NA,NA,20260726114020,2026-07-26 15:46:42
132974,NA,NA,NA,NA,NA,NA,NA,20260726114020,2026-07-26 15:46:42
NA,NA,NA,NA,NA,NA,NA,NA,20260726114020,2026-07-26 15:46:42
NA,NA,NA,NA,NA,NA,NA,NA,20260726114020,2026-07-26 15:46:42
NA,NA,NA,NA,NA,NA,NA,NA,20260726114020,2026-07-26 15:46:42
