customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
390,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
186270,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
77,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
46,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
73005,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,NA,NA,20260828234015,2026-08-29 03:52:18
NA,NA,NA,NA,NA,NA,-73.83148654030808,45.618084563870354,20260828234015,2026-08-29 03:52:18
