customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
10,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
132974,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
62,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
32,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
39062,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,NA,NA,20260724210007,2026-07-25 01:09:16
NA,NA,NA,NA,NA,NA,-71.97620946917296,46.057611290301985,20260724210007,2026-07-25 01:09:16
10,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
132974,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
62,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
32,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
39062,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
NA,NA,NA,NA,NA,NA,NA,NA,20260725001008,2026-07-25 04:25:44
