customers_affected,notice_id,planned_start,planned_end,actual_start,actual_end,longitude,latitude,aip_version,pulled_at
2,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
56730,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
67,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
85,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
99060,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,NA,NA,20260708222011,2026-07-09 02:28:59
NA,NA,NA,NA,NA,NA,-74.71659186163856,49.788409952031664,20260708222011,2026-07-09 02:28:59
2,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
56730,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
67,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
85,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
99060,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,NA,NA,20260709022016,2026-07-09 06:26:37
NA,NA,NA,NA,NA,NA,-74.71659186163856,49.788409952031664,20260709022016,2026-07-09 06:26:37
2,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
56730,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
67,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
85,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
99060,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,NA,NA,20260709060017,2026-07-09 10:05:44
NA,NA,NA,NA,NA,NA,-74.71659186163856,49.788409952031664,20260709060017,2026-07-09 10:05:44
1,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
182104,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
71,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
99,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
89008,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,NA,NA,20260709114004,2026-07-09 15:46:10
NA,NA,NA,NA,NA,NA,-77.76367026714125,48.11234961983573,20260709114004,2026-07-09 15:46:10
